OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1135,Veterans Of Foreign Wars Parkway,6287000.000000000000000,2,3,1,2013,BL,0.005751672434998,"MULTILINESTRING M ((-71.145361806999972 42.296244936000051 NAN, -71.145123681999962 42.296313897000061 NAN, -71.144910946999971 42.296322118000035 NAN, -71.144111903999942 42.296259639000027 NAN, -71.142801887999951 42.296114337000063 NAN, -71.141654168999935 42.295985849000033 NAN, -71.141235367999968 42.295928274000062 NAN, -71.140719922999949 42.295871520000048 NAN, -71.140087471999948 42.295798078000075 NAN, -71.13965275399994 42.295741010000029 NAN))"
1136,Commonwealth Avenue Frontage Road Eb,5109000.000000000000000,0,2,1,2013,SLM,0.000550828069374,"MULTILINESTRING M ((-71.14686052899998 42.341380357000048 NAN, -71.146311741999966 42.341427732000056 NAN))"
1137,Commonwealth Avenue Frontage Road Wb,5309900.000000000000000,0,2,1,2013,BL,0.001091449005534,"MULTILINESTRING M ((-71.145924105999939 42.341905650000058 NAN, -71.146116022999934 42.341868539000075 NAN, -71.146460451999985 42.341819521000048 NAN, -71.146742525999969 42.341799568000056 NAN, -71.147007660999975 42.341790256000024 NAN))"
1138,Cambridge Street,5237200.000000000000000,3,2,,2010,BL,0.000868398326137,"MULTILINESTRING M ((-71.146417767999935 42.350462334000042 NAN, -71.145621434999953 42.350808700000073 NAN))"
1139,Cambridge Street,5193200.000000000000000,3,2,,2010,BL,0.001004512766926,"MULTILINESTRING M ((-71.143981290999989 42.351441586000078 NAN, -71.143608595999979 42.351515833000065 NAN, -71.143151221999972 42.351606692000075 NAN, -71.142997212999944 42.351642789000039 NAN))"
1140,Centre Street,4856700.000000000000000,5,2,,2019,BFBL,0.000927257318849,"MULTILINESTRING M ((-71.141719584999976 42.289648510000063 NAN, -71.141152630999954 42.290131774000031 NAN, -71.141008005999936 42.29024273400006 NAN))"
1141,Centre Street,4843300.000000000000000,5,2,,2019,BFBL,0.000830575338222,"MULTILINESTRING M ((-71.140382793999947 42.290774208000073 NAN, -71.139746368999965 42.291307892000077 NAN))"
1142,Centre Street,4834200.000000000000000,5,2,,2019,BFBL,0.000847997532371,"MULTILINESTRING M ((-71.139161913999942 42.291799532000027 NAN, -71.138704965999978 42.292188039000052 NAN, -71.138509511999985 42.292341037000028 NAN))"
1143,Commonwealth Avenue Frontage Road Eb,5109600.000000000000000,0,2,1,2013,SLM,0.001338528481381,"MULTILINESTRING M ((-71.142675631999964 42.343637865000062 NAN, -71.141929861999984 42.344749389000071 NAN))"
1144,Commonwealth Avenue Frontage Road Eb,5110100.000000000000000,0,2,1,2013,SLM,0.000571982039782,"MULTILINESTRING M ((-71.140587234999941 42.346925082000041 NAN, -71.140549141999941 42.34702062100007 NAN, -71.140478291999955 42.347208337000041 NAN, -71.140383560999965 42.347459557000036 NAN))"
1145,Cambridge Street,4482400.000000000000000,3,2,,2010,BL,0.000759264988238,"MULTILINESTRING M ((-71.140266815999951 42.352551451000068 NAN, -71.139847945999975 42.352705437000054 NAN, -71.139555044999952 42.352815755000051 NAN))"
1146,Cambridge Street,4480000.000000000000000,3,2,,2010,BL,0.000587720484885,"MULTILINESTRING M ((-71.139555044999952 42.352815755000051 NAN, -71.139277806999985 42.352913529000034 NAN, -71.138997382999946 42.353000990000055 NAN))"
1147,Cambridge Street,5193800.000000000000000,3,2,,2010,SLM,0.000933477278538,"MULTILINESTRING M ((-71.138345965999974 42.353227020000077 NAN, -71.137470099999973 42.35354988000006 NAN))"
1148,Everett Street,5624000.000000000000000,6,2,,2024,BLSL,0.000426971949021,"MULTILINESTRING M ((-71.138623817999985 42.355349569000055 NAN, -71.138634058999969 42.355449757000031 NAN, -71.13862762499997 42.355567613000062 NAN, -71.138578500999984 42.355769966000025 NAN))"
1149,Brighton Avenue,5576100.000000000000000,3,2,1,2019,SLM,0.000673356782010,"MULTILINESTRING M ((-71.137470099999973 42.35354988000006 NAN, -71.136804177999977 42.353450094000038 NAN))"
1150,Brighton Avenue,6244600.000000000000000,3,2,1,2013,SLM,0.001563663822837,"MULTILINESTRING M ((-71.135735709999949 42.35350727000008 NAN, -71.136002077999933 42.353519341000037 NAN, -71.136253649999958 42.35353649700005 NAN, -71.13649802599997 42.35354712600008 NAN, -71.136827206999953 42.353575209000041 NAN, -71.137076932999946 42.353602165000041 NAN, -71.137294685999962 42.353622557000051 NAN))"
1151,Western Avenue,5126000.000000000000000,5,2,,2024,SBL,0.000304748067563,"MULTILINESTRING M ((-71.137672065999936 42.362884014000031 NAN, -71.137369998999986 42.362924349000025 NAN))"
1152,Walter Street,5175800.000000000000000,6,2,,2016,BLSL,0.000231202142325,"MULTILINESTRING M ((-71.134160490999989 42.288916822000033 NAN, -71.133993976999989 42.289077220000081 NAN))"
1153,Belgrade Avenue,4891100.000000000000000,3,2,,2009,BL,0.000746092885509,"MULTILINESTRING M ((-71.131664874999956 42.286581007000052 NAN, -71.131174402999989 42.286707164000063 NAN, -71.130949415999964 42.286789722000037 NAN))"
1154,Centre Street,6292100.000000000000000,5,2,1,2010,SLM,0.000450549736907,"MULTILINESTRING M ((-71.136010455999951 42.29443793300004 NAN, -71.136339092999947 42.294129724000072 NAN))"
1155,Centre Street,6247900.000000000000000,5,2,1,2010,BL,0.000825218994810,"MULTILINESTRING M ((-71.132978587999958 42.296837377000031 NAN, -71.133108139999933 42.29674944900006 NAN, -71.133298387999957 42.296616703000041 NAN, -71.133630078999943 42.296403938000026 NAN, -71.13366113099994 42.29637477700004 NAN))"
1156,Cambridge Street,5623700.000000000000000,3,2,1,2022,SBL,0.002859783835098,"MULTILINESTRING M ((-71.130738688999941 42.35636885100007 NAN, -71.130233499999974 42.356486517000064 NAN, -71.129517602999954 42.356731792000062 NAN, -71.128027485999951 42.357269969000072 NAN))"
1157,Western Avenue,5638900.000000000000000,5,2,,2015,BLSL,0.000445015024339,"MULTILINESTRING M ((-71.132645902999968 42.363340738000034 NAN, -71.132209309999951 42.363254570000038 NAN))"
1158,River Street,5079000.000000000000000,5,2,,2012,BLSL,0.000693639918359,"MULTILINESTRING M ((-71.129467886999976 42.253565990000027 NAN, -71.129648077999946 42.253384821000054 NAN, -71.129978096999935 42.253096662000075 NAN))"
1159,South Street,4886800.000000000000000,3,2,,2009,BL,0.001734700943160,"MULTILINESTRING M ((-71.127045520999957 42.287468656000044 NAN, -71.127659454999957 42.287065511000037 NAN, -71.127909106999937 42.286976290000041 NAN, -71.128174849999937 42.286923131000037 NAN, -71.128300487999979 42.286917914000071 NAN, -71.128637947999948 42.286942638000028 NAN))"
1160,Washington Street,4865500.000000000000000,3,2,,2009,BL-PEAKBUS,0.001600358999105,"MULTILINESTRING M ((-71.125814623999986 42.288623790000031 NAN, -71.125096746999986 42.289298928000051 NAN, -71.124649764999958 42.289721173000032 NAN))"
