"","start_station","n","start_lat","start_lng"
"245","Clarendon St at Commonwealth Ave",256,42.3521903514531,-71.0760041699723
"246","Clarendon St at Newbury St",61301,42.351770480502,-71.0757653252846
"247","Cleary Sq",1688,42.2556604799658,-71.1242814571141
"248","Cleveland Circle",27513,42.3354398683549,-71.1505627994166
"249","Cleveland Circle (former)",135,42.3355309187232,-71.1507278680801
"250","Clinton St at North St",23159,42.3607099768419,-71.0554791826392
"251","Codman Square Library",4605,42.2873796066725,-71.0711061073353
"252","Codman Square Library (former)",17,42.2873611,-71.0711111
"253","Colleges of the Fenway",9558,42.340021,-71.100812
"254","Colleges of the Fenway - Fenway at Avenue Louis Pasteur",69017,42.3401260183748,-71.1006013060041
"255","Columbia Rd at Ceylon St",5583,42.3096331215864,-71.072853044151
"256","Columbia Rd at Tierney Community Center",29835,42.3301866739126,-71.0507827075488
"257","Columbia Rd at Tierney Community Center (former)",120,42.3302326468493,-71.0505741463021
"258","Columbus Ave at Massachusetts Ave",24374,42.3405938924131,-71.0814251833138
"259","Columbus Ave at W. Canton St",67352,42.3446895081502,-71.0765643708154
"260","Columbus Ave. at Mass. Ave.",9217,42.340799,-71.081572
"261","Commercial St at Charter St",14417,42.3682172710582,-71.0568854669669
"262","Commonwealth Ave At Babcock St",80949,42.3515153474273,-71.1213092130565
"263","Commonwealth Ave at Agganis Way",185872,42.3517018972966,-71.1189682209711
"264","Commonwealth Ave at Blandford Mall",7267,42.3490922835387,-71.100376152567
"265","Commonwealth Ave at Buick St",10000,42.3507778286535,-71.1135713907471
"266","Commonwealth Ave at Chestnut Hill Dr",724,42.3384362938795,-71.1545501121325
"267","Commonwealth Ave at Chiswick Rd",22112,42.3402694106887,-71.1516740958384
"268","Commonwealth Ave at Chiswick Rd (former)",107,42.3402177416592,-71.1517309399278
"269","Commonwealth Ave at Fidelis Way",2671,42.3458682196933,-71.1418954205771
"270","Commonwealth Ave at Granby St",14844,42.3498779498743,-71.1038623594156
"271","Commonwealth Ave at Griggs St",64661,42.3492560057008,-71.1326965451636
"272","Commonwealth Ave at Kelton St",49921,42.3483272576195,-71.1400143778441
"273","Commonwealth Ave at Kelton St (former)",280,42.3483680235499,-71.139976214663
"274","Commonwealth Ave at Naples Rd",17112,42.3518991736105,-71.1237584454597
"275","Community Life Center",245,42.5201298517143,-70.906280222
"276","Community Path at Cedar Street",48745,42.3941387724552,-71.1115358939616
"277","Community Path at Lowell St",32655,42.3925796781565,-71.1056570417085
"278","Concord Ave at Spinelli Place",5969,42.3906811025193,-71.1538692515783
"279","Congress / Sleeper",19286,42.3511,-71.0496
"280","Congress St and Northern Ave",4598,42.3482032222746,-71.0376513004303
"281","Congress St at Boston City Hall",48416,42.3606231682447,-71.0575851090511
"282","Congress St at Boston Wharf Rd",1410,42.3495324295077,-71.0468177826256
"283","Congress St at North St",11753,42.3602370711255,-71.0583402193133
"284","Congress St at Northern Ave",64773,42.3481280495138,-71.0377438062956
"285","Congress St at Sleeper St",66387,42.3511856917923,-71.0497453786997
"286","Constitution Rd at Chelsea St",4595,42.3735191933243,-71.0583349330431
"287","Conway Park - Somerville Avenue",84925,42.3835845390647,-71.1084808830978
"288","Conway Park @ Bleachery Ct (Temp Winter Station)",2686,42.3833701129285,-71.1074635043048
"289","Conway Park at Central Street (Temporary Winter Location)",182,42.3833178700906,-71.1072321795482
"290","Coolidge Corner - Beacon St @ Centre St",20690,42.341598,-71.123338
"291","Coolidge Corner - Beacon St at Centre St",103312,42.3415686270137,-71.1232458539777
"292","Coolidge Sq.",8187,42.372217043208,-71.1567710414879
"293","Copley Square - Dartmouth St at Boylston St",166179,42.3498848443666,-71.0774024467598
"294","Craigie & Summer at Conway Park (Temp. Winter Location)",2371,42.3833562284624,-71.1074405672903
"295","Craigie St at Brattle St / Sparks St",2,42.3779233774179,-71.1300602747914
"296","Craigie St at Brattle St/Sparks St",30,42.3779233774179,-71.1300602747914
"297","Craigie St at Summer St",8725,42.3882578213134,-71.1107345636807
"298","Craigie at Summer St",9260,42.38641081381,-71.1097414666401
"299","Cross St at Hanover St",176361,42.3628057142618,-71.0560998249469
"300","Cross St at Stillman St",4140,42.363693330491,-71.0574849046628
"301","Cross St. at Hanover St.",28301,42.362811,-71.056067
"302","Cummins Highway at Blue Hill Ave T Stop",355,42.2699438537086,-71.0973290639037
